# to_clean.pkl

nom_colonne             type        signification                 
pid                     Int64       ID
vague_cine_inv          Int16       Vague cinéma d'interviews
age                     Int8        Age
gender                  Int8        Sexe
regi                    Int32       Code postal
r1                      Int8        Département
uda5                    Int8        Région Marketing en 5
uda9                    Int8        Région Markéting en 9
agglo_new               Int8        Type d'agglomération
s2ad                    Int16       Catégorie Socio-Professionnelle
s3ad                    Int8        Habitude de fréquentation
s4ad                    Int8        Possession d'un abonnement illimité     
q1ad                    datetime    Date de l'entrée au cinéma
q2ad                    Int16       Code du film vu
q12ad_1                 Int8        Note
q13ad                   Int8        Nombre de personnes lors de la sortie
q14ad                   Int8        Département du cinéma
q14bisad                Int64       Code du cinéma
q15ad                   Int8        Cinéma habituel


# poids_statistiques

vague_cine_inv          Int16       Vague cinéma d'interviews
pid                     Int64       ID
age                     Int8        Age
q2ad                    Int16       Code du film vu
Entrées Extrapolées	    Float64     Poids statistiques de chaque entrée
mois_cine               Int16       Mois cinéma


# entrees_films

Film                    object      Titre nettoyé du film (pas de caractères spéciaux)	
Semaine	                Int8        Semaine d'exploitation du film au Cinéma
Entrées	                Int32       Nombre d'entrées réalisées par le film au cours de la semaine
Cumul	                Int32       Cumul des entrées du film depuis sa date_de_sortie
Code Rentrak	        Int64       Code du film (ddiférent de q2ad)
sem_cine_inv	        Int16       Semaine cinéma (différent de la vague_cinema)
Année	                Int16       Année de la semaine cinéma
date_de_sortie	        datetime    Date de sortie du film
titre                   object      Titre exact du film
