vague_cine_inv	pid	age	q2ad	Entrées Extrapolées	mois_cine
2326	1488240567	72	2964	4883.573695243394	2307
2326	290080841	49	2939	808.2210499098557	2307
2326	1561725024	46	2964	1508.8420082989226	2307
2326	1488239508	32	2964	1352.103424100737	2307
2326	266199476	60	2964	961.4960804093537	2307
2326	397949302	37	2915	556.3166964671045	2307
2326	376149253	35	2964	3976.5428664333444	2307
2326	1488258993	80	2960	1248.5453729461688	2307
2326	1488249806	76	2967	3319.299849173522	2307
2326	392806173	23	2915	449.76655687106245	2307
2326	354151005	55	2944	1845.1047880940655	2307
2326	398645781	49	99	626.1950939912376	2307
2326	272438728	68	2964	1045.323675037924	2307
2326	1488262846	54	2964	1138.1956571645999	2307
2326	308939008	65	2915	222.65072172870765	2307
2326	1488090227	51	2930	758.2940183281286	2307
2326	1488260956	47	2964	718.1613485769464	2307
2326	354143859	39	2964	813.5123390892605	2307
2326	301250290	64	2964	5504.679017588064	2307
2326	1488276649	71	2967	2451.6619919709738	2307
2326	326149280	67	2954	1922.16282491904	2307
2326	1488256784	65	2964	923.2846408212823	2307
2326	169728556	72	2933	1417.0413670212376	2307
2326	1213956494	73	2964	2084.845075620305	2307
2326	1488185319	44	2915	361.9869054003711	2307
2326	1488246115	64	2924	525.4471482512	2307
2326	353806128	46	2914	229.04118014073293	2307
2326	1488260768	64	2915	401.36640754124977	2307
2326	1488264122	66	2954	1608.2234801513978	2307
2326	338512135	56	2929	835.8791117371886	2307
2326	381163852	63	2964	920.1326833938741	2307
2326	398750902	27	2897	711.375801218899	2307
2326	1752533395	35	2897	634.1948252551376	2307
2326	367429116	48	2964	864.4838624426873	2307
2326	275784700	36	2964	718.5367228695522	2307
2326	1488256815	61	2966	4915.859820633096	2307
2326	1488258118	74	2939	892.0518060739498	2307
2326	398094002	49	2964	2602.2126181010794	2307
2326	1488242014	61	2946	1549.9357544913848	2307
2326	1488274871	72	99	1322.2164986859723	2307
2326	1641110396	76	2964	5504.679017588064	2307
2326	268311347	24	2944	2982.980745074194	2307
2326	1488265354	61	2964	3339.4281378369865	2307
2326	1488260261	54	2964	5504.679017588064	2307
2326	346810736	33	2937	5087.224489841927	2307
2326	1632719294	67	2946	291.63461234990564	2307
2326	1488274705	58	2964	785.1110864804795	2307
2326	1488263447	53	2964	826.7033927522317	2307
2326	332740505	67	2966	531.3324726709803	2307
2326	361139514	53	2944	1669.7102405423655	2307
2326	1488264970	42	2957	515.9325501960344	2307
2326	1942735560	65	2924	444.3689895892702	2307
2326	391605756	31	2964	3175.2046148240506	2307
2326	163936032	51	2964	3389.6178531470573	2307
2326	305769570	40	2915	339.5921540228435	2307
2326	377893567	36	2954	814.0177984106392	2307
2326	286345860	46	2954	1763.6210068205737	2307
2326	288731037	65	2939	362.8403953445558	2307
2326	306172836	20	2929	1624.7295146592653	2307
2326	313262376	43	2964	1837.7992703521822	2307
2326	306681294	63	2964	1120.6044515316448	2307
2326	1406464838	64	2968	1635.2625439747712	2307
2326	1488260117	50	2964	988.083154110638	2307
2326	1488264440	57	2964	1358.3421451170427	2307
2326	264724098	41	2860	254.37774224499375	2307
2326	1488262624	48	2964	1106.9273670492014	2307
2326	1488254580	67	2960	348.04846462218865	2307
2326	398918651	50	2946	378.9635635253114	2307
2326	313928203	46	2964	1253.8952052410991	2307
2326	398782759	30	2958	3427.1756055784977	2307
2326	360113385	43	2954	2553.0101505284147	2307
2326	1488256574	64	2954	2649.017216932971	2307
2326	1488027300	73	2966	5411.5640364832725	2307
2326	1488219374	32	2960	574.3050760071973	2307
2326	1488133761	33	2930	663.6136551146137	2307
2326	1488228072	63	2964	1636.7778401548085	2307
2326	1632964818	27	2915	366.1898636606909	2307
2326	1488285215	68	2946	215.51629667392135	2307
2326	231424851	41	2897	154.91321766357825	2307
2326	1488250059	63	2964	1883.3921653618006	2307
2326	352015680	32	2951	2039.6112983085875	2307
2326	1445830345	68	2940	330.3552274461361	2307
2326	219797801	45	2964	1407.4799283644436	2307
2326	1488256942	54	2961	475.3996765401062	2307
2326	1084408445	63	2937	1592.5680184198054	2307
2326	290983677	74	2964	5504.679017588064	2307
2326	23992569	68	2964	3463.268595180049	2307
2326	274251875	63	2954	678.614985546005	2307
2326	369124983	46	2921	375.04896674199125	2307
2326	1488290747	48	2967	852.255832586294	2307
2326	366859726	30	2964	5504.679017588064	2307
2326	1488265130	77	2964	5504.679017588064	2307
2326	299997098	69	2964	1045.323675037924	2307
2326	357145068	57	2964	3151.1621244858065	2307
2326	1488257236	47	2964	2426.3278454805613	2307
2326	1882299623	41	2964	1036.2803523533687	2307
2326	1488284435	77	2964	2493.127587936376	2307
2326	303331542	24	2921	370.0545942951697	2307
2326	331217203	40	2964	1148.4513546465444	2307
2326	262762085	34	2933	1784.7512188656995	2307
2326	1488014030	61	2940	488.01973264101423	2307
2326	209585077	64	2961	710.4925477566651	2307
2326	345968755	37	2915	585.4164473733061	2307
2326	1488262592	43	99	424.90556920430663	2307
2326	1658789572	61	2964	1591.9466996147287	2307
2326	1436128556	71	2939	1358.5255576587315	2307
2326	2006339887	25	2930	1525.2783059026565	2307
2326	276898446	66	2946	330.3552274461361	2307
2326	1488257104	57	2937	5441.951062228663	2307
2326	126057992	67	2964	2180.58695697404	2307
2326	274033945	56	2964	3163.969434015059	2307
2326	169348072	20	2921	632.7477431165845	2307
2326	388820620	45	99	788.4950784913322	2307
2326	1325280890	63	2964	867.515380650847	2307
2326	1488234333	70	2933	3425.2891987902753	2307
2326	399189369	19	2921	569.5857300314499	2307
2326	1488033996	72	2964	3366.9246304963385	2307
2326	1488261668	78	2946	787.9068952830132	2307
2326	259823519	39	2944	987.8254020402003	2307
2326	1488087451	34	2929	4175.58679480411	2307
2326	371929799	41	2937	1034.647147102679	2307
2326	1488248762	56	2924	703.2407349397882	2307
2326	1488276261	71	2943	3040.169858156857	2307
2326	311608948	49	2964	1253.8952052410991	2307
2326	375535019	40	2961	964.906335059528	2307
2326	1488252118	47	2960	270.71551800599207	2307
2326	1488286316	59	2956	497.92037019196084	2307
2326	381602248	18	2964	5504.679017588064	2307
2326	388311753	36	2961	740.6601166634697	2307
2326	351772263	42	2897	456.9216732091132	2307
2326	1488284591	37	2966	965.1138667420825	2307
2326	311788893	56	2964	1224.2981756859374	2307
2326	399255538	25	2964	2617.5193003329587	2307
2326	346548225	24	2965	2931.776840864748	2307
2326	135792274	47	2929	1152.4756140989664	2307
2326	1488271816	67	2964	533.6512675335388	2307
2326	195807842	53	2964	5504.679017588064	2307
2326	335479509	23	2942	1086.7116609901825	2307
2326	363836148	25	2969	1968.423406900672	2307
2326	1417343237	79	2940	2609.7617450527428	2307
2326	349273599	35	2964	977.696249407334	2307
2326	254421089	24	2967	1842.487093488321	2307
2326	388588191	31	2953	2020.65822461162	2307
2326	399192361	18	2929	2702.2866317378944	2307
2326	399520717	57	2915	777.8557914746011	2307
2326	1488282563	62	2943	2720.9278073601445	2307
2326	1488262531	60	99	710.6915097157648	2307
2326	72292447	65	2924	552.525795253727	2307
2326	1488260811	75	99	2659.81955546005	2307
2326	1488285328	67	2939	691.1336194979712	2307
2326	264624055	62	2964	681.945580251123	2307
2326	1488259518	54	2957	1045.5737993919952	2307
2326	1370903538	55	2964	2341.620156684658	2307
2326	277800216	44	2946	693.6313269670686	2307
2326	355198506	59	2964	1651.978431716999	2307
2326	349517785	51	2924	186.83933016705112	2307
2326	1487985459	53	2964	1620.2532090206666	2307
2326	399485851	33	99	495.63347488422824	2307
2326	252199345	45	2946	285.7865269204398	2307
2326	355553679	52	2929	716.8226277830162	2307
2326	399622783	22	2929	1419.028044059873	2307
2326	399619159	55	2964	1615.116433793804	2307
2326	376050418	38	2954	1035.5268524282124	2307
2326	353300496	58	99	3427.1756055784977	2307
2326	307149438	41	2940	350.00678448509706	2307
2326	120978199	67	2972	1280.116513140588	2307
2326	399315446	29	2959	919.0066479504412	2307
2326	399560057	30	2946	573.2887998876183	2307
2326	259462753	48	2956	548.8449549220974	2307
2326	1956674264	22	2915	509.21634493930486	2307
2326	354244494	64	2959	1491.950193383803	2307
2326	1688692379	59	2964	694.492336760497	2307
2326	237746406	65	2959	1491.950193383803	2307
2326	365916090	36	2921	573.1269931161094	2307
2326	1488279781	59	2964	1358.3421451170427	2307
2326	238660993	46	2964	1178.1560400521826	2307
2326	1488261518	51	2929	911.4540762431242	2307
2326	308842173	23	2964	4136.283372918626	2307
2326	1488253193	65	2939	310.40074557398384	2307
2326	1657427001	55	2939	540.2589341187161	2307
2326	301551361	54	2954	5510.806736166823	2307
2326	397916114	52	2897	311.98838730964076	2307
2326	345948220	42	2944	771.0650431196738	2307
2326	258904358	73	2944	5408.609692324406	2307
2326	335656006	28	2860	139.23084667495155	2307
2326	398505756	58	99	466.2034715248452	2307
2326	1488289240	59	2860	99.53217771408323	2307
2326	1470704589	30	2921	937.2615137097291	2307
2326	1488268740	49	2921	888.8140806906869	2307
2326	1446011214	62	2915	718.9027959415429	2307
2326	398762705	22	2929	3356.10443313362	2307
2326	399739095	23	2948	1793.2212958057771	2307
2326	1348120312	48	2964	2151.038921985101	2307
2326	1488277514	67	2964	2266.330715135455	2307
2326	249120745	41	2966	1237.7583024923852	2307
2326	1488283819	73	99	1171.4549017680897	2307
2326	345401793	44	2964	2935.242533562687	2307
2326	1583883584	22	2929	939.0808928932526	2307
2326	243564934	46	2923	892.4678136816602	2307
2326	358096680	46	2937	945.5870281018294	2307
2326	399173962	19	99	960.593716328075	2307
2326	374491938	71	2956	1575.7529707410336	2307
2326	319387134	61	2940	291.78704625146264	2307
2326	92517464	37	2914	257.09553914037286	2307
2326	354696057	47	2964	1407.4799283644436	2307
2326	1077717393	56	2964	1860.604482214893	2307
2326	365588547	39	2930	515.6630193427062	2307
2326	313584734	45	2964	1242.5105740630884	2307
2326	1803974363	53	2957	564.8765347575984	2307
2326	336841230	53	2964	2068.649497284352	2307
2326	284785316	25	2915	326.23109218019107	2307
2326	365403092	51	2950	714.8022727687378	2307
2326	111052194	64	2964	3219.5818045021488	2307
2326	371257737	44	2964	813.5123390892605	2307
2326	364363289	80	2967	1417.0413670212376	2307
2326	207890902	55	2897	521.8068838831784	2307
2326	318650219	47	2964	1405.5151178807525	2307
2326	284478419	50	2921	553.1180470605096	2307
2326	314278827	75	2946	787.9068952830132	2307
2326	399794887	21	2944	2958.247219980591	2307
2326	91457604	53	2943	822.0722841391765	2307
2326	1392384125	64	2966	469.30067968556216	2307
2326	218769419	35	2860	394.49288174750603	2307
2326	1446279285	74	2964	5504.679017588064	2307
2326	399801939	23	99	398.3626215932651	2307
2326	380732153	53	2943	1375.6511721449579	2307
2326	120323281	38	2971	637.3482738223323	2307
2326	273348853	38	2972	552.9334771931202	2307
2326	399814633	30	2966	1934.9526112443566	2307
2326	344018067	22	2929	1995.930987702903	2307
2326	399827544	27	2971	2489.274059214303	2307
2326	324446598	56	2939	261.2643278487379	2307
2326	1488247854	50	2956	1047.651223226333	2307
2326	387948490	48	2942	167.72332896094946	2307
2326	370956317	23	2921	801.7466662813634	2307
2326	397069981	20	2937	1693.8915030379735	2307
2326	286338541	56	2914	207.6931200891617	2307
2326	291648601	32	2929	907.2678646017514	2307
2326	399844985	31	2954	3980.398091770105	2307
2326	372999426	19	2959	1640.132901371111	2307
2326	349286465	42	99	520.3878348975234	2307
